기관ID,주소,병원분류,병원분류명,응급의료기관코드,응급의료기관코드명,응급실운영여부,비고,기관설명상세,간이약도,기관명,대표전화1,응급실전화,진료시간(월요일)C,진료시간(화요일)C,진료시간(수요일)C,진료시간(목요일)C,진료시간(금요일)C,진료시간(토요일)C,진료시간(일요일)C,진료시간(공휴일)C,진료시간(월요일)S,진료시간(화요일)S,진료시간(수요일)S,진료시간(목요일)S,진료시간(금요일)S,진료시간(토요일)S,진료시간(일요일)S,진료시간(공휴일)S,우편번호1,우편번호2,병원경도,병원위도,작업시간
A1100014,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,"야간진료  - 월~금: 20시까지, 토: 17시까지",구로구청 인근,고려대학교의과대학부속구로병원,02-2626-1114,02-2626-1550,1730,1730,1730,1730,1730,1200,2000,1300,900,900,900,900,900,900,1500,900,83,8,126.8847449,37.49211115,55:50.0
A1100026,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,"안녕하세요? 최고의 치료가 될 수 있도록 최선을 다하는 구대한의원입니다. 머리떨림, 틱장애, 파킨슨병, 디스크 등의 질환을 치료합니다.",구일역 2번 출구 고척 스카이 돔구장 맞은편,구로성심병원,02-2067-1500,02-2067-1515,1730,1730,1730,1730,1730,1230,1700,1700,900,900,900,900,900,900,900,900,82,23,126.8663604,37.49964579,55:51.0
A1100052,서울특별시 중구 을지로 245 (을지로6가),A,종합병원,G006,지역응급의료센터,1,접수시간 : 평일 08:30~17:00 / 토요일 08:30~12:00 진료시간 : 평일 09:00~17:00,"외래 30분전 접수마감/토요일은 일부과만 진료하며, 진료과 사정상 토요진료가 어려울 수 있으니 안내전화로 문의 후 내원하시기 바랍니다.  ☎ 1588-1775(ARS 안내)",동대문역사문화공원역 13번출구 도보5분,국립중앙의료원,222607114,02-2260-7414,1700,1700,1700,1700,1700,1200,1200,1500,830,830,830,830,830,830,900,930,45,64,127.0057954,37.56733956,55:51.0
A1100048,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",A,종합병원,G006,지역응급의료센터,1,평일 13:00-14:00 휴게시간,일반진료/미용성형/봉합/,하계역 3번 출구,노원을지대학교병원,02-970-8000,02-970-8282,1730,1730,1730,1730,1730,1230,1300,1300,830,830,830,830,830,830,830,830,18,30,127.0700028,37.63644293,55:53.0
A1100044,서울특별시 중랑구 사가정로49길 53 (면목동),A,종합병원,G007,지역응급의료기관,1,,일반진료/미용성형/봉합/,사가정역 1번 출구/까치어린이공원 옆,녹색병원,02-490-2000,02-490-2113,1730,1730,1730,1730,1730,1230,1300,1300,830,830,830,830,830,830,830,830,22,21,127.0860555,37.58362084,55:53.0
A1100037,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",A,종합병원,G007,지역응급의료기관,1,"1,3주 토요일 휴진/2,4주 일요일 휴진/점심시간 13:00~14:00",저희 대나무한의원은 홍제역 1번출구 나오시면 바로 있습니다. 항상 환자의 질병치료에 최우선을 두고 있으며 가족처럼 편안하게 다가가겠습니다.,구로디지털단지역 6번 출구 도보 10분,대림성모병원,02-829-9000,02-829-9129,1730,1730,1730,1730,1730,1230,1300,1500,830,830,830,830,830,830,930,900,74,42,126.9071695,37.49068925,55:54.0
A1100024,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",A,종합병원,G007,지역응급의료기관,1,점심시간 없이 진료,보건복지부 지정 뇌혈관 전문병원 ( 종합병원 ),대림역 11번 출구,명지성모병원,02-1899-1475,02-829-7800,1800,1800,1800,1800,1800,1300,1800,1600,900,900,900,900,900,900,1400,830,74,17,126.8992545,37.49385071,55:57.0
A1100046,서울특별시 강서구 강서로 295 (내발산동),A,종합병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,점심시간 13:00~14:00,"종합병원이며 산부인과 전문병원입니다. 진료과목은 소아청소년과,내분비내과,소화기내과,심장내과,류마티스내과,가정의학과,비뇨의학과,외과,영상의학과,마취통증의학과,병리과,진단검사의학과 전문센터로는 Miz분만센터,아이드림센터(난임),키즈센터,복강경센터,유방센터,소화기내시경센터,국민건강검진센터 운영.",압구정로데오역 2번 출구와 청담역 9번 출구 사이/청담사거리 인근,미즈메디병원,02-2007-1000,02-2007-1118,1700,1700,1700,1700,1700,1230,1300,1600,830,830,830,830,830,830,900,900,76,39,126.8360254,37.55225379,55:57.0
A1100036,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",A,종합병원,G007,지역응급의료기관,1,점심시간 12:30~14:00,점심13~14,제기동역 2번 출구,부민병원,1577-7582,02-2620-0119,1800,1700,1700,1700,1700,1300,2030,1600,900,900,900,900,900,900,1400,900,75,90,126.8509495,37.55694089,55:59.0
A1100148,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,점심시간 13:00~14:00,건강검진실/인공신장실 운영 보훈위탁병원 자보/산재 지정병원,2호선 서울대입구역 1번출구 200m,사랑의병원,02-880-0114,02-880-0119,1800,1800,1800,1800,1800,1300,1600,1300,900,900,900,900,900,900,800,900,87,89,126.9562858,37.47962478,56:00.0
A1100010,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,외래진료시간은 진료과목별 운영,일원역 1번 출구,삼성서울병원,02-3410-2114,02-3410-2060,1530,1530,1530,1530,1530,1300,1300,1300,830,830,830,830,830,900,900,830,63,51,127.0866825,37.48851613,56:00.0
A1100021,서울특별시 동대문구 망우로 82 (휘경동),A,종합병원,G006,지역응급의료센터,1,점심시간 12:00~13:00,수액o/이물제거x/소아진료가능,회기역 2번 출구,삼육서울병원,02-2244-0191,02-2210-3566,1700,1700,1700,1700,1230,1500,1700,1700,900,900,900,900,900,930,900,900,25,0,127.0653288,37.587992,56:00.0
A1100017,서울특별시 종로구 대학로 101 (연건동),A,종합병원,G001,권역응급의료센터,1,점심시간 13:00~14:00,서울대학교병원 치과진료는 서울대학교 치과병원에 문의 및 별도 접수 필요,혜화역 3번 출구,서울대학교병원,1588-5700,02-2072-2475,1800,1800,1800,1800,1800,1330,1400,1700,800,800,800,800,800,800,1000,800,30,80,126.9989631,37.57966609,56:01.0
A1100050,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",A,종합병원,G007,지역응급의료기관,1,점심시간 13-14시(평일),"신경외과 : 평일 9시~18시, 토요일 8시~13시",청량리역 3번 출구,서울성심병원,02-966-1616,02-966-1616,1740,1730,1740,1730,1740,1300,1700,1400,900,900,900,900,900,900,900,1000,24,88,127.0498381,37.58419129,56:01.0
A1100029,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,항문(전문)/하지정맥/갑상선/유방/위내시경/대장내시경/봉합/화상/탈장,서대문 사거리 지하철 5호선 서대문역 4번 출구 10미터,서울적십자병원,02-2002-8000,02-2002-8888,1730,1730,1730,1730,1730,1400,1300,1300,830,830,830,830,830,930,900,900,31,81,126.9669986,37.56715536,56:02.0
A1100022,서울특별시 동대문구 무학로 124 (용두동),A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.,제기동역 6번 출구,서울특별시동부병원,02-920-9114,02-920-9119,1730,1730,1730,1730,1730,1400,2200,1600,900,900,900,900,900,900,1000,900,25,84,127.0314026,37.57539886,56:02.0
A1100040,서울특별시 동작구 보라매로5길 20 (신대방동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.,제기동역 6번 출구,서울특별시보라매병원,02-870-2114,02-870-2119,1700,1700,1700,1700,1700,1200,2200,1600,900,900,900,900,900,900,1000,900,70,61,126.9240488,37.4937184,56:02.0
A1100223,서울특별시 양천구 신정이펜1로 20 (신정동),A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,서울 강서구민의 건강증진+예방+교육을 전담하는 보건의료기관입니다.,신정이펜하우스 아파트 인근,서울특별시서남병원,1566-6688,02-6300-9129,1730,1730,1730,1730,1730,1200,2200,1600,900,900,900,900,900,900,1000,900,80,49,126.8331299,37.51201936,56:02.0
A1100035,서울특별시 중랑구 신내로 156 (신내동),A,종합병원,G001,권역응급의료센터,1,토요일은 단순진료 (예:감기)만,응급결핵환자는 휴일없이 24시간 접수가능함,봉화산역 3번 출구/신내역 1번 출구,서울특별시서울의료원,02-2276-7000,02-2276-7403,1730,1730,1730,1730,1730,1800,2200,1600,900,900,900,900,900,1500,1000,900,20,53,127.0980911,37.61286932,56:02.0
A1100172,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,"일요일, 공휴일 휴무 항상진료 및 수술함 점심시간 13:00~14:00","24시간 응급진료 및 응급수술하며. 특히 상하지절단 접헙수술, 힘줄, 혈관,신경절단접합 수술, 골절 및 탈구수술 및 정복, 어깨 및 슬관절,.고관절.기타관절의 인공관절수술, 척추체골절 및 디스크파열 수술, 맹장.탈장.담석등 복강경수술,  기타 MRI.CT.초음파.위대장내시경등 검사.",4호선 수유역 1번 출구(강북구청 사거리),서울현대병원,02-994-1156,02-902-9119,1800,1800,1800,1800,1800,1300,1400,1600,900,900,900,900,900,900,1000,900,10,56,127.0285044,37.64025592,56:02.0
A1100028,서울특별시 강동구 성안로 150 (길동),A,종합병원,G006,지역응급의료센터,1,점심시간 12:30~13:30,치과의원,강동역 2번 출구,성심의료재단강동성심병원,02-2224-2114,02-2224-2358,1730,1730,1730,1730,1730,1230,1200,1500,830,830,830,830,830,830,900,830,53,55,127.1352635,37.53598408,56:03.0
A1100054,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",A,종합병원,G006,지역응급의료센터,1,점심시간:12시~13시30분,"뇌신경센터, 소화기내시경센터, 관절센터 등을 운영하고 있으며 응급심혈관시술 가능, 응급의료센터는 24시간 전문의 직접 진료 가능.",대방역 3번 출구,성애의료재단성애병원,02-840-7114,02-840-7115,1730,1730,1730,1730,1730,1300,1200,1500,900,900,900,900,900,900,900,830,73,54,126.9223673,37.51205045,56:03.0
A1100032,서울특별시 종로구 통일로 256 (무악동),A,종합병원,G007,지역응급의료기관,1,평일 13:00-14:00 휴게시간,"365일 내과, 소아과 진료합니다. 평일은 9시부터 23시까지 주말 공휴일은 9시부터 21시까지 진료합니다.",독립문역 1번 출구,세란병원,02-737-0181,02-737-0181,1800,1800,1800,1800,1800,1230,1400,2100,900,900,900,900,900,900,1000,900,30,30,126.9577072,37.57534017,56:03.0
A1100004,서울특별시 용산구 대사관로 59 (한남동),A,종합병원,G006,지역응급의료센터,1,점심시간: 13-14시,비만/비염/통증(어깨 허리 무릎),효창공원앞역 2번출구 금양초 맞은편,순천향대학교 부속 서울병원,02-709-9114,02-709-9117,1700,1700,1700,1700,1700,1300,1400,1400,900,900,900,900,900,900,930,900,44,1,127.004418,37.53384172,56:04.0
A1100063,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,응급실은 24시간 운영,"신촌 로터리 위치 절단,혈관,신경 등 미세수지 접합 수술 잘함. 24시간 365일 응급실 운영",신촌지하철역 8번출구,신촌연세병원,02-337-7582,02-337-7582,1700,1700,1700,1700,1700,1230,1900,1700,830,830,830,830,830,830,900,930,40,94,126.9337347,37.55258927,56:05.0
A1100045,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",A,종합병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,점심시간 13:00~14:00,"CM병원은 68년의 전통을 가진 종합병원으로서 정형외과1~11, 내과1~3, 산부인과,  일반외과, 신경과, 마취통증의학과, 진단검사의학과, 영상진단의학과, 건강관리과를 갖추고 있습니다.",영등포소방서 뒷편 영등포 타임스퀘어 맞은편,씨엠병원,02-2678-0001,070-4698-7811,1730,1730,1730,1730,1730,1230,1600,1500,900,900,900,900,900,900,930,1000,73,1,126.9036798,37.51884833,56:05.0
A1100015,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,소아청소년과 진료시간: 09:00~22:00 (만 16세미만 내과적 질환),"한티역 6번 출구, 도곡중 옆",연세대학교의과대학강남세브란스병원,02-2019-3114,02-2019-3333,1730,1730,1730,1730,1730,1230,1800,1400,830,830,830,830,830,830,1330,1000,62,73,127.0463125,37.49280698,56:07.0
A1100007,서울특별시 서대문구 연세로 50-1 (신촌동),A,종합병원,G006,지역응급의료센터,1,점심시간 13:00~14:00,소아청소년과 진료시간: 09:00~22:00 (만 16세미만 내과적 질환),2호선 신촌역 1번출구 셔틀버스 이용 또는 3번 출구 10분 거리/중앙선 신촌역 2번 출구,연세대학교의과대학세브란스병원,02-2228-0114,02-2227-7777,1530,1530,1530,1530,1530,1130,1800,1400,800,800,800,800,800,800,1330,1000,37,22,126.9408277,37.56211711,56:07.0
A1100042,서울특별시 강서구 하늘길 70 (과해동),A,종합병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,마지막 주 토요일 휴진,원인치료 최소절개 척추 관절 전문 서울김포공항 우리들병원,1)지하철 김포공항역 내려서 한국공항공사 출구에서 200m 2)버스 정류장 한국공항공사하차후 100m,우리들병원,02-2660-7500,02-2660-7057,1800,1800,1800,1800,1800,1300,1300,1700,930,930,930,930,930,930,900,930,75,5,126.7963653,37.56199597,56:09.0
A1100152,서울특별시 은평구 연서로 177 (갈현동),B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,점심시간 : 12:30~14:00,"갑상선,유방,치질,하지정맥류 전문","6호선 구산역 4번출구, 3,6호선 연신내역 6번 출구",은평연세병원,02-388-8114,02-388-0119,1730,1730,1730,1730,1730,1230,1800,1800,830,830,830,830,830,830,1000,1000,33,34,126.9174722,37.61469222,56:11.0
A1100025,"서울특별시 서대문구 연희로 272, 동신병원 본관동 (홍은동)",A,종합병원,G007,지역응급의료기관,1,"일반진료 외 클리닉 진료 스케쥴 방문 확인은 사전에 홈페이지 및 문의 후 방문 바랍니다. (설날 , 추석 당일 외래진료는 휴무입니다.)","의료재단 우리아이들병원은 서울 서남권역 최초로 설립된 어린이 병원으로서, 20명의 소아청소년 전문의(소아영상의학과, 소아내분비과, 소아청소년 정신건강의학과, 소아심장과, 소아치과)와 130여 명의 병원 가족들이 함께 우리아이들의 건강을 책임지고 있습니다.",서대문구청앞 교차로 인근,의료법인동신의료재단 동신병원,02-396-9161,02-396-9161,1730,1730,1730,1730,1730,1230,1600,1600,900,900,900,900,900,900,900,900,36,53,126.9365831,37.58110428,56:11.0
A1100041,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",A,종합병원,G006,지역응급의료센터,1,토요일은 투석만 진행함/평일 점심시간 12:00~12:40,26개과 289병상 운영 종합병원,서울 관악구 신림동 신림사거리에서 강남방향100미터(지하철2호선1번출구),의료법인서울효천의료재단 에이치플러스양지병원,02-1877-8875,070-4665-9119,1730,1730,1730,1730,1730,1230,1600,1600,830,830,830,830,830,830,900,900,87,79,126.9325392,37.48427507,56:11.0
A1100030,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",A,종합병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,,26개과 289병상 운영 종합병원,지하철 4호선 수유역 5번 출구역 정면방향 3분거리,의료법인성화의료재단  대한병원,02-903-3232,02-905-9110,1800,1800,1800,1800,1800,1300,1600,1600,900,900,900,900,900,900,900,900,10,81,127.0226725,37.63547043,56:11.0
A1100255,서울특별시 영등포구 당산로31길 10 (당산동3가),B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,"월,수,금 12:30-14:00 휴게시간","(주)녹십초에서 사회사업으로 의료법인에이치엠피의료재단 녹십초요양병원을 설립하였습니다. 섬김과 배려가 있는 병원, 환자와 보호자 그리고 직원 모두가 행복한 병원이라는 비전을 갖고 따뜻한 마음과 친절한 미소로 내 집처럼 편안한 공간, 그리고 가족같은 마음으로 환자분의 빠른 쾌유를 위해 최선을 다합니다.",영등포구청역 3번 출구  영등포구청 옆,의료법인인봉의료재단영등포병원,02-2635-2809,02-2632-0013,1730,1730,1730,1730,1730,1230,1600,1600,830,830,830,830,830,830,900,900,72,56,126.8956126,37.52685674,56:11.0
A1100023,서울특별시 은평구 통일로 873 (갈현동),A,종합병원,G007,지역응급의료기관,1,점심시간 13:00~14:00,"환자 중심의 의료환경으로 다양한 프로그램 운영, 환자의 질환 및 개개인의 특성에 맞는 맞춤형 재활치료 제공, 재활치료의 신 의료기술인 로봇보조정형용운동장치 등 최신 재활치료시스템을 도입해 건강하고 빠른 회복을 돕고 있으며, 화재 및 환자 안전사고 예방 매뉴얼 체계화 등 안전한 병원으로 거듭나고 있습니다.",연신내역 7번 출구,의료법인청구성심병원,02-350-3300,02-383-0129,1730,1730,1730,1730,1730,1220,2100,1600,830,830,830,830,830,830,900,900,33,30,126.919554,37.62079154,56:11.0
A1100075,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",A,종합병원,G007,지역응급의료기관,1,응급실운영시간 : 24시간,건강검진센터를 포함한 모든 진료과가 08시(오전 8시) 부터 시작합니다.,7호선 상봉역 5번출구에서 구리방향버스 탑승,의료법인풍산의료재단동부제일병원,02-437-5011,02-490-8880,1730,1730,1730,1730,1730,1230,2100,1600,800,800,800,800,800,800,900,900,20,63,127.1090292,37.60067565,56:11.0
A1100020,"서울특별시 도봉구 우이천로 308, 한일병원 (쌍문동)",A,종합병원,G006,지역응급의료센터,1,토요진료 한시적 중단,의료법인한국의료재단,쌍문역 3번 출구,의료법인한전의료재단한일병원,02-901-3114,02-901-3119,1730,1730,1730,1730,1730,1400,2100,1600,900,900,900,900,900,900,900,900,14,50,127.0290242,37.6461157,56:11.0
A1100005,서울특별시 양천구 안양천로 1071 (목동),A,종합병원,G001,권역응급의료센터,1,공휴일 진료시간은 변동 가능성 있으니 전화 후 방문 바랍니다.,평일 외래진료시간 진료과목별 차이운영,"당산역, 영등포구청역, 오목교역에서 셔틀버스 이용",이화여자대학교의과대학부속목동병원,02-2650-5114,02-2650-5911,1730,1730,1730,1730,1730,1200,1800,1300,800,800,800,800,800,900,1000,1000,79,85,126.886216,37.53654283,56:12.0
A1120796,"서울특별시 강서구 공항대로 260, 이화의대부속서울병원 (마곡동)",A,종합병원,G006,지역응급의료센터,1,공휴일 진료시간은 변동 가능성 있으니 전화 후 방문 바랍니다.,평일 외래진료시간 진료과목별 차이운영,"당산역, 영등포구청역, 오목교역에서 셔틀버스 이용",이화여자대학교의과대학부속서울병원,1522-7000,02-6986-5119,1700,1700,1700,1700,1700,1200,1800,1300,830,830,830,830,830,830,1000,1000,78,4,126.8362659,37.55726115,56:12.0
A1100016,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",A,종합병원,G006,지역응급의료센터,1,"산부인과 진료시간 기준, 산부인과 응급진료 및 분만은 24시간 가능합니다. 소아청소년과 및 내과는 진료 시간 다르므로 전화 문의 후 내원 바랍니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료, 약침, 추나치료를 위주로 하고있으며,  그외 여성질환, 자동차보험치료, 피부질환치료, 산후관리, 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani",중계역 1번 출구,인제대학교상계백병원,02-950-1114,02-950-1119,1700,1700,1700,1700,1700,1200,1800,1300,900,900,900,900,900,900,900,900,17,57,127.0631162,37.64858127,56:12.0
A1100033,서울특별시 중구 마른내로 9 (저동2가),A,종합병원,G007,지역응급의료기관,1,"산부인과 진료시간 기준, 산부인과 응급진료 및 분만은 24시간 가능합니다.","안녕하세요 잠실역 9번출구 옆 인애한의원입니다. 항상 정성을 다해 치료하고 있습니다.  본원은 일반 근 골격 통증 및 침구치료, 약침, 추나치료를 위주로 하고있으며,  그외 여성질환, 자동차보험치료, 피부질환치료, 산후관리, 두통및 위장치료를 주로 하고 있습니다.  예약문의 02-2042-7582 카카오ID : Bphani",을지로3가역 12번 출구,인제대학교서울백병원,02-2270-0114,02-2270-0119,1700,1700,1700,1700,1700,1200,1300,1300,830,830,830,830,830,900,900,900,45,51,126.9888453,37.56507317,56:06.0
A1122381,서울특별시 성동구 왕십리로 382 (하왕십리동),B,병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,도수치료 ~21시까지,"2,4째 토요일 휴진/",내방역 7번 출구 인근,재단법인베스티안재단베스티안서울병원,02-6211-7912,02-6211-7965,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,900,900,47,1,127.0280198,37.56511028,56:13.0
A1100018,"서울특별시 강남구 도곡로 429 (대치동, 베스티안병원 2층일부 제외)",A,종합병원,G009,응급실운영신고기관,1,"지역응급의료기관 취소(자진반납, 2018.06.01.)",보건복지부지정 화상질환 전문병원 및 종합병원 - 응급실에서는 화상진료 및 드레싱위주로 진료합니다. 내과는 진료가능여부 확인 후 방문해주세요,한티역 2번출구,재단법인베스티안재단베스티안서울병원,02-3452-7575,070-7609-9902,1800,1800,1800,1800,1800,1300,1500,1500,900,900,900,900,900,900,900,900,62,8,127.0572671,37.49807127,53:31.0
A1100009,"서울특별시 송파구 올림픽로43길 88, 서울아산병원 (풍납동)",A,종합병원,G006,지역응급의료센터,1,공휴일은 응급진료만 가능 토요일 성형외과,"2,4째 토요일 휴진/",잠실나루역 셔틀버스,재단법인아산사회복지재단 서울아산병원,02-3010-3114,02-3010-3333,1730,1730,1730,1730,1730,1300,1500,1500,830,830,830,830,830,900,900,900,55,5,127.1082383,37.52656397,56:13.0
A1100003,서울특별시 동작구 흑석로 102 (흑석동),A,종합병원,G006,지역응급의료센터,1,"2,4째주 토요일 휴진",점심시간 1~2시 공휴일은 전화 확인 후 방문,지하철 9호선 흑석역 4번 출구에서 도보 3분,중앙대학교병원,18001114,02-6299-1338,1630,1630,1630,1630,1630,1200,1300,1600,830,830,830,830,830,830,900,1000,69,73,126.9607938,37.50707428,56:14.0
A1100057,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",A,종합병원,G009,응급의료기관 외의 의료기관(응급의료시설),1,점심시간 13:00~14:00,"점심시간 12:30~13:30 / 산부인과 토요일 오후진료 13:30~13:30(환자접수 13:30~16:00) - 산부인과만 응급실 초진가능하며, 내과소아과는 약처방만 가능합니다.","언주역 5, 6번 출구",차의과학대학교 강남차병원,02-3468-3000,02-3468-3060,1730,1730,1730,1730,1730,1230,1300,1400,900,900,900,900,900,900,900,900,61,35,127.0346687,37.50680003,56:14.0
